scheme,d,t,m,log2_Rt_star
Gamma1,2,1,200,-0.54089
Gamma1,2,1,400,-0.75
Gamma1,2,1,600,-1.07699
Gamma1,2,1,800,-1.50497
Gamma1,2,1,1000,-1.63504
Gamma1,2,1,1200,-1.72177
Gamma1,2,1,1400,-1.75223
Gamma1,2,1,1600,-1.81593
Gamma1,2,1,1800,-1.86377
Gamma1,2,1,2000,-1.9149
Gamma2,2,1,200,-0.61545
Gamma2,2,1,400,-0.91792
Gamma2,2,1,600,-1.11807
Gamma2,2,1,800,-1.24744
Gamma2,2,1,1000,-1.3771
Gamma2,2,1,1200,-1.43131
Gamma2,2,1,1400,-1.472
Gamma2,2,1,1600,-1.5264
Gamma2,2,1,1800,-1.5751
Gamma2,2,1,2000,-1.62181
Gamma3,2,1,200,3.94309
Gamma3,2,1,400,3.63078
Gamma3,2,1,600,3.43753
Gamma3,2,1,800,3.31971
Gamma3,2,1,1000,3.18399
Gamma3,2,1,1200,3.1096
Gamma3,2,1,1400,3.0718
Gamma3,2,1,1600,3.01679
Gamma3,2,1,1800,2.96712
Gamma3,2,1,2000,2.92411
