scheme,d,t,m,log2_Rt_star
Gamma1,2,2,200,-0.21084
Gamma1,2,2,400,-0.58284
Gamma1,2,2,600,-0.75362
Gamma1,2,2,800,-0.94711
Gamma1,2,2,1000,-0.97547
Gamma1,2,2,1200,-1.06359
Gamma1,2,2,1400,-1.14636
Gamma1,2,2,1600,-1.17315
Gamma1,2,2,1800,-1.23114
Gamma1,2,2,2000,-1.27918
Gamma2,2,2,200,-0.75659
Gamma2,2,2,400,-1.07941
Gamma2,2,2,600,-1.25438
Gamma2,2,2,800,-1.42608
Gamma2,2,2,1000,-1.48294
Gamma2,2,2,1200,-1.56146
Gamma2,2,2,1400,-1.65896
Gamma2,2,2,1600,-1.66394
Gamma2,2,2,1800,-1.72746
Gamma2,2,2,2000,-1.78068
Gamma1,2,3,200,0.13834
Gamma1,2,3,400,-0.18949
Gamma1,2,3,600,-0.37164
Gamma1,2,3,800,-0.47864
Gamma1,2,3,1000,-0.60131
Gamma1,2,3,1200,-0.64007
Gamma1,2,3,1400,-0.74681
Gamma1,2,3,1600,-0.77425
Gamma1,2,3,1800,-0.82956
Gamma1,2,3,2000,-0.89019
Gamma2,2,3,200,-0.00197
Gamma2,2,3,400,-0.32375
Gamma2,2,3,600,-0.53013
Gamma2,2,3,800,-0.65614
Gamma2,2,3,1000,-0.75461
Gamma2,2,3,1200,-0.82646
Gamma2,2,3,1400,-0.90066
Gamma2,2,3,1600,-0.96405
Gamma2,2,3,1800,-0.99555
Gamma2,2,3,2000,-1.05715
