scheme,d,t,m,log2_Rt_star
Gamma1,4,1,1,3.59
Gamma1,4,1,2,2.26
Gamma1,4,1,3,1.35
Gamma1,4,1,4,0.64
Gamma1,4,1,5,0.06
Gamma1,4,1,6,-0.42
Gamma1,4,1,7,-0.85
Gamma1,4,1,8,-1.23
Gamma1,4,1,9,-1.57
Gamma1,4,1,10,-1.88
Gamma1,4,1,11,-2.16
Gamma1,4,1,12,-2.42
Gamma1,4,1,13,-2.66
Gamma1,4,1,14,-2.88
Gamma1,4,1,15,-3.09
Gamma2,4,1,1,3.24
Gamma2,4,1,2,1.95
Gamma2,4,1,3,1.07
Gamma2,4,1,4,0.39
Gamma2,4,1,5,-0.16
Gamma2,4,1,6,-0.66
Gamma2,4,1,7,-1.04
Gamma2,4,1,8,-1.41
Gamma2,4,1,9,-1.73
Gamma2,4,1,10,-2.02
Gamma2,4,1,11,-2.29
Gamma2,4,1,12,-2.53
Gamma2,4,1,13,-2.76
Gamma2,4,1,14,-2.92
Gamma2,4,1,15,-3.17
Gamma3,4,1,1,4.4
Gamma3,4,1,2,3.64
Gamma3,4,1,3,3.06
Gamma3,4,1,4,2.58
Gamma3,4,1,5,2.16
Gamma3,4,1,6,1.8
Gamma3,4,1,7,1.48
Gamma3,4,1,8,1.19
Gamma3,4,1,9,0.93
Gamma3,4,1,10,0.68
Gamma3,4,1,11,0.46
Gamma3,4,1,12,0.25
Gamma3,4,1,13,0.05
Gamma3,4,1,14,-0.13
Gamma3,4,1,15,-0.3
Gamma1,8,1,1,3.32
Gamma1,8,1,2,1.45
Gamma1,8,1,3,0.07
Gamma1,8,1,4,-1.05
Gamma1,8,1,5,-2.02
Gamma1,8,1,6,-2.86
Gamma1,8,1,7,-3.61
Gamma1,8,1,8,-4.29
Gamma1,8,1,9,-4.9
Gamma1,8,1,10,-5.4
Gamma1,8,1,11,-6.0
Gamma1,8,1,12,-6.49
Gamma1,8,1,13,-6.95
Gamma1,8,1,14,-7.38
Gamma1,8,1,15,-7.8
Gamma2,8,1,1,3.3
Gamma2,8,1,2,1.5
Gamma2,8,1,3,0.16
Gamma2,8,1,4,-0.93
Gamma2,8,1,5,-1.86
Gamma2,8,1,6,-2.68
Gamma2,8,1,7,-3.41
Gamma2,8,1,8,-4.01
Gamma2,8,1,9,-4.66
Gamma2,8,1,10,-5.21
Gamma2,8,1,11,-5.72
Gamma2,8,1,12,-6.19
Gamma2,8,1,13,-6.6
Gamma2,8,1,14,-7.05
Gamma2,8,1,15,-7.45
Gamma3,8,1,1,3.71
Gamma3,8,1,2,2.44
Gamma3,8,1,3,1.4
Gamma3,8,1,4,0.51
Gamma3,8,1,5,-0.26
Gamma3,8,1,6,-0.96
Gamma3,8,1,7,-1.59
Gamma3,8,1,8,-2.17
Gamma3,8,1,9,-2.7
Gamma3,8,1,10,-3.2
Gamma3,8,1,11,-3.65
Gamma3,8,1,12,-4.09
Gamma3,8,1,13,-4.49
Gamma3,8,1,14,-4.88
Gamma3,8,1,15,-5.24
Gamma1,10,1,1,3.26
Gamma1,10,1,2,1.18
Gamma1,10,1,3,-0.36
Gamma1,10,1,4,-1.64
Gamma1,10,1,5,-2.75
Gamma1,10,1,6,-3.73
Gamma1,10,1,7,-4.61
Gamma1,10,1,8,-5.41
Gamma1,10,1,9,-6.15
Gamma1,10,1,10,-6.82
Gamma1,10,1,11,-7.45
Gamma1,10,1,12,-8.0
Gamma1,10,1,13,-8.59
Gamma1,10,1,14,-9.11
Gamma1,10,1,15,-9.61
Gamma2,10,1,1,3.42
Gamma2,10,1,2,1.41
Gamma2,10,1,3,-0.1
Gamma2,10,1,4,-1.36
Gamma2,10,1,5,-2.44
Gamma2,10,1,6,-3.4
Gamma2,10,1,7,-4.25
Gamma2,10,1,8,-5.03
Gamma2,10,1,9,-5.74
Gamma2,10,1,10,-6.4
Gamma2,10,1,11,-7.01
Gamma2,10,1,12,-7.59
Gamma2,10,1,13,-8.12
Gamma2,10,1,14,-8.63
Gamma2,10,1,15,-9.11
Gamma3,10,1,1,3.49
Gamma3,10,1,2,2.03
Gamma3,10,1,3,0.83
Gamma3,10,1,4,-0.21
Gamma3,10,1,5,-1.13
Gamma3,10,1,6,-1.96
Gamma3,10,1,7,-2.72
Gamma3,10,1,8,-3.41
Gamma3,10,1,9,-4.06
Gamma3,10,1,10,-4.66
Gamma3,10,1,11,-5.22
Gamma3,10,1,12,-5.75
Gamma3,10,1,13,-6.24
Gamma3,10,1,14,-6.71
Gamma3,10,1,15,-7.16
