d,t,m,Tc_Gamma1_over_Tc_Pi3
2,1,200,1.7486
2,1,400,1.7079
2,1,600,1.6942
2,1,800,1.6874
2,1,1000,1.6832
2,1,1200,1.6805
2,1,1400,1.6785
2,1,1600,1.677
2,1,1800,1.6759
2,1,2000,1.675
2,2,200,1.4459
2,2,400,1.4231
2,2,600,1.4154
2,2,800,1.4116
2,2,1000,1.4093
2,2,1200,1.4077
2,2,1400,1.4066
2,2,1600,1.4058
2,2,1800,1.4052
2,2,2000,1.4046
3,1,200,1.8632
3,1,400,1.8072
3,1,600,1.7882
3,1,800,1.7787
3,1,1000,1.773
3,1,1200,1.7692
3,1,1400,1.7665
3,1,1600,1.7644
3,1,1800,1.7628
3,1,2000,1.7615
3,2,200,1.49
3,2,400,1.4595
3,2,600,1.4493
3,2,800,1.4441
3,2,1000,1.441
3,2,1200,1.439
3,2,1400,1.4375
3,2,1600,1.4364
3,2,1800,1.4355
3,2,2000,1.4348
